"parameter","block","rhat","ess_bulk","ess_tail","rep","scenario","n_calib"
"U[98,2]","latent",1.0175586904195,69.6043439998745,52.5764966740576,1,"primary",6
"U[99,2]","latent",1.02584585877322,57.4042900655491,32.051905920519,1,"primary",6
"U[100,2]","latent",1.06127744607678,41.6608972922554,74.3789209535759,1,"primary",6
"U[102,2]","latent",1.04779001793195,71.238537178573,92.2645914396887,1,"primary",6
"U[103,2]","latent",1.10556440136332,26.384232395899,54.9143121815655,1,"primary",6
"U[105,2]","latent",1.04086159837913,59.4922143094797,19.9265862611431,1,"primary",6
"U[106,2]","latent",0.997453026334057,109.371134990266,91.4902449149025,1,"primary",6
"U[107,2]","latent",1.03288619664195,72.7660298243743,87.9983890455095,1,"primary",6
"U[108,2]","latent",1.0185043610921,65.4801075831659,76.9569428546271,1,"primary",6
"U[109,2]","latent",0.991190445034661,82.1117677995561,87.112417340191,1,"primary",6
"U[110,2]","latent",1.0364435154715,71.9069225891889,87.112417340191,1,"primary",6
"U[111,2]","latent",1.02787283976479,70.8918892974528,81.0234541577825,1,"primary",6
"U[112,2]","latent",1.01835638637666,74.0393075910205,41.3492927094669,1,"primary",6
"U[113,2]","latent",1.01077538388948,87.5326106291327,91.4902449149024,1,"primary",6
"U[114,2]","latent",1.01306686230959,73.3812674694556,55.8981612446959,1,"primary",6
"U[115,2]","latent",1.1687406920896,13.5610989192437,59.0732436472347,1,"primary",6
"U[116,2]","latent",1.00456235603063,96.4843466478346,50.8622908622909,1,"primary",6
"U[117,2]","latent",1.03407657473385,54.6068419478609,52.5764966740576,1,"primary",6
"U[118,2]","latent",1.0111142974742,42.8160172724434,25.7670791659603,1,"primary",6
"U[119,2]","latent",1.05100533869446,46.4288241798813,41.4111072301781,1,"primary",6
"U[120,2]","latent",0.997278257468172,100.893187430366,93.4809348093481,1,"primary",6
