"parameter","block","rhat","ess_bulk","ess_tail","rep","scenario","n_calib"
"U[52,1]","latent",0.992015666143632,75.673230019466,61.3927576601671,1,"primary",6
"U[53,1]","latent",1.01507626260801,75.0073769273949,96.4201003916377,1,"primary",6
"U[54,1]","latent",1.05685206616108,81.8785274573665,87.1124173401911,1,"primary",6
"U[55,1]","latent",0.988377807145919,76.1730738206003,99.5500882738197,1,"primary",6
"U[56,1]","latent",0.997466950275353,70.4292024475052,38.0732177263969,1,"primary",6
"U[57,1]","latent",0.99506158923583,74.7172117302063,93.4809348093481,1,"primary",6
"U[58,1]","latent",0.993196617206176,79.7267953814697,93.4809348093481,1,"primary",6
"U[59,1]","latent",0.989448283478121,110.120272851435,99.5500882738197,1,"primary",6
"U[60,1]","latent",0.988278149826939,89.7927962910374,59.1960445663585,1,"primary",6
"U[61,1]","latent",1.02468466790587,65.4399449864935,60.3612003176905,1,"primary",6
"U[62,1]","latent",1.03743016509461,43.8884722793054,60.3612003176905,1,"primary",6
"U[63,1]","latent",1.02331254353253,42.0521652429971,49.4618272841051,1,"primary",6
"U[64,1]","latent",0.989500461421178,92.7988524850622,88.1092797015978,1,"primary",6
"U[65,1]","latent",1.01348386530793,48.4124234545788,38.0732177263969,1,"primary",6
"U[66,1]","latent",1.03840031179644,61.9360861320114,91.4902449149025,1,"primary",6
"U[67,1]","latent",0.986268715398816,89.1526398959948,99.5500882738197,1,"primary",6
"U[68,1]","latent",1.08492509703222,46.6851396155614,97.2424442973748,1,"primary",6
"U[69,1]","latent",1.01492109521219,50.3340138606291,72.1086209716997,1,"primary",6
"U[70,1]","latent",1.05931425806921,63.1957243477524,97.2424442973748,1,"primary",6
"U[71,1]","latent",1.03037648119243,71.3237442182399,65.0713501646542,1,"primary",6
"U[72,1]","latent",0.999410512929831,52.0208072164641,59.0732436472347,1,"primary",6
"U[73,1]","latent",1.01902734811327,65.0827133507203,60.3612003176905,1,"primary",6
"U[74,1]","latent",1.08867053245654,33.3389681820499,69.4145199063232,1,"primary",6
"U[75,1]","latent",1.04790475992227,32.009544486666,87.9983890455095,1,"primary",6
"U[76,1]","latent",1.01781877047679,60.7901047397235,96.4201003916377,1,"primary",6
"U[77,1]","latent",0.994649587470846,72.9823525491507,74.3789209535759,1,"primary",6
"U[78,1]","latent",1.05362641962933,65.7868605149816,59.0732436472347,1,"primary",6
"U[80,1]","latent",1.08487426657068,29.4997693064068,95.0761828388132,1,"primary",6
"U[81,1]","latent",1.00486950410132,46.9999272728427,39.0256747860435,1,"primary",6
"U[82,1]","latent",0.988943094413675,99.0210776879178,60.3612003176905,1,"primary",6
"U[83,1]","latent",1.0071259151202,78.0728886117801,60.3612003176905,1,"primary",6
"U[84,1]","latent",0.983902665228692,79.0481957643286,60.3612003176905,1,"primary",6
"U[85,1]","latent",1.04514599364422,44.9410718880482,97.2424442973748,1,"primary",6
"U[86,1]","latent",1.00412914629471,62.3701883813117,58.0750191036247,1,"primary",6
"U[87,1]","latent",0.994301539343728,78.4619858632923,65.4583582983823,1,"primary",6
"U[88,1]","latent",1.04863906189947,35.4716974780305,22.0545560069646,1,"primary",6
"U[89,1]","latent",0.988670301160635,97.39746400658,83.2222433822128,1,"primary",6
"U[90,1]","latent",0.988404214385109,90.8594436446483,65.0713501646542,1,"primary",6
"U[91,1]","latent",1.03703785443516,56.5969857002094,96.4201003916377,1,"primary",6
"U[92,1]","latent",1.02555503084897,71.9151234453309,93.4809348093481,1,"primary",6
"U[93,1]","latent",1.00805498167594,79.1844246622618,55.8981612446959,1,"primary",6
"U[94,1]","latent",1.04431884951312,88.8176126569892,87.9983890455095,1,"primary",6
"U[96,1]","latent",0.99288999214942,89.6914619739116,87.9983890455095,1,"primary",6
"U[97,1]","latent",0.998507333685336,75.5202483375481,60.3612003176905,1,"primary",6
"U[98,1]","latent",0.995300543877659,83.5281920394136,98.7012987012987,1,"primary",6
"U[99,1]","latent",1.01090915598534,85.7071969991165,59.0732436472347,1,"primary",6
"U[100,1]","latent",0.98105243170512,128.896813502109,59.1960445663585,1,"primary",6
"U[102,1]","latent",1.00337615609394,66.9578003164293,96.4201003916377,1,"primary",6
"U[103,1]","latent",0.988715748017442,100.457323482803,83.2222433822129,1,"primary",6
"U[105,1]","latent",1.02251700334075,58.5155705430427,59.7580645161291,1,"primary",6
"U[106,1]","latent",1.1039894810167,72.373779397496,38.0732177263969,1,"primary",6
"U[107,1]","latent",1.00454096019691,74.0418448462462,95.0761828388132,1,"primary",6
"U[108,1]","latent",1.04701934572306,43.6201943155709,37.4753451676528,1,"primary",6
"U[109,1]","latent",1.01404209898324,77.6862105178969,33.129904097646,1,"primary",6
"U[110,1]","latent",1.05141140704739,60.375548271866,59.7047270757145,1,"primary",6
"U[111,1]","latent",0.994564482919162,125.238659679827,54.3660582141095,1,"primary",6
"U[112,1]","latent",1.00175725831881,74.0437429446248,71.568948575172,1,"primary",6
